part_number,description,category,manufacturer,supplier,industry,lifecycle,unit_price_usd,quantity,total_cost_usd,lead_time_wks,last_updated
REN-7912-A,Microcontroller - STM series,Microcontroller,STMicroelectronics,Arrow Electronics,Automotive,EOL,74.732,1838,137356.69,22,2026-04-03
ST-8359-E,Connectivity - Inf series,Connectivity,Infineon,Mouser,Automotive,Obsolete,166.54,4607,767251.24,37,2025-06-27
TI-2519-D,Sensor - NXP series,Sensor,NXP,Arrow Electronics,Consumer Electronics,Active,23.655,1773,41940.32,52,2025-12-04
TI-5803-E,Analog IC - Mic series,Analog IC,Microchip,Mouser,Renewable Energy,Active,62.041,4402,273104.48,11,2025-11-13
TI-7227-C,Power Management - Inf series,Power Management,Infineon,Digi-Key,Medical,Active,56.224,2380,133813.12,9,2026-01-26
MCH-2169-E,Memory - Mic series,Memory,Microchip,PT Solutions,Industrial Automation,Active,30.23,2197,66415.31,48,2025-06-10
REN-4598-C,Connectivity - Vis series,Connectivity,Vishay,Arrow Electronics,Industrial Automation,Active,39.319,2221,87327.5,44,2025-06-07
ST-9179-D,Passive Component - Tex series,Passive Component,Texas Instruments,PT Solutions,Financial Services,NRND,22.795,1738,39617.71,40,2025-12-15
MCH-8019-E,Analog IC - NXP series,Analog IC,NXP,Digi-Key,Consumer Electronics,Active,21.001,4608,96772.61,38,2026-01-11
REN-2040-D,Memory - Inf series,Memory,Infineon,Digi-Key,Renewable Energy,Obsolete,128.802,395,50876.81,32,2026-03-08
MCH-6573-A,Analog IC - ROH series,Analog IC,ROHM,Mouser,Financial Services,Obsolete,234.466,104,24384.51,63,2026-03-28
REN-2743-C,Logic IC - NXP series,Logic IC,NXP,PT Solutions,Renewable Energy,Active,81.077,2167,175693.86,36,2026-02-23
REN-6310-D,Memory - Inf series,Memory,Infineon,Arrow Electronics,Automotive,Active,64.825,4428,287045.1,37,2026-05-25
MCH-8962-A,Analog IC - Mic series,Analog IC,Microchip,Future Electronics,Industrial Automation,Active,4.971,4657,23149.95,9,2026-04-12
MCH-6107-D,Logic IC - NXP series,Logic IC,NXP,PT Solutions,Medical,Obsolete,55.058,4332,238510.18,56,2025-10-21
REN-4608-A,Logic IC - Mic series,Logic IC,Microchip,Arrow Electronics,Medical,Obsolete,90.066,2040,183733.81,33,2026-04-23
ST-5562-D,Connectivity - Tex series,Connectivity,Texas Instruments,Avnet,Renewable Energy,Active,76.965,2716,209036.94,8,2025-09-04
TI-8062-C,Logic IC - NXP series,Logic IC,NXP,Digi-Key,Financial Services,Active,66.703,3344,223054.83,16,2026-04-07
ST-4139-B,Microcontroller - ROH series,Microcontroller,ROHM,Future Electronics,Financial Services,EOL,184.492,816,150545.63,18,2025-10-31
REN-2604-A,Sensor - NXP series,Sensor,NXP,PT Solutions,Renewable Energy,Active,23.712,2056,48751.87,8,2025-10-11
IFX-1960-B,Power Management - Tex series,Power Management,Texas Instruments,Digi-Key,Automotive,Active,14.178,3988,56541.86,34,2026-02-05
ST-4111-C,Analog IC - ON  series,Analog IC,ON Semiconductor,Avnet,Automotive,NRND,24.282,4562,110774.48,46,2025-09-18
ST-1931-E,Microcontroller - Vis series,Microcontroller,Vishay,Arrow Electronics,Industrial Automation,EOL,73.59,420,30907.99,65,2025-09-23
REN-2343-D,Power Management - STM series,Power Management,STMicroelectronics,PT Solutions,Renewable Energy,EOL,154.989,3317,514097.09,20,2025-08-07
IFX-3144-C,Passive Component - Vis series,Passive Component,Vishay,Digi-Key,Consumer Electronics,Active,17.402,2583,44949.37,19,2026-01-10
REN-4492-E,Microcontroller - STM series,Microcontroller,STMicroelectronics,Mouser,Industrial Automation,NRND,52.817,4622,244120.17,10,2026-04-18
MCH-5956-E,Power Management - Mic series,Power Management,Microchip,PT Solutions,Renewable Energy,Active,31.441,1302,40936.18,32,2025-08-20
NXP-5616-E,Analog IC - Tex series,Analog IC,Texas Instruments,Avnet,Medical,EOL,32.96,1110,36585.48,32,2026-03-27
TI-7939-C,Connectivity - Mic series,Connectivity,Microchip,Arrow Electronics,Automotive,EOL,114.75,2172,249237.64,45,2025-09-17
REN-1158-A,Memory - Mic series,Memory,Microchip,Arrow Electronics,Medical,EOL,239.791,1333,319641.91,72,2025-10-11
TI-6050-C,Microcontroller - NXP series,Microcontroller,NXP,Arrow Electronics,Consumer Electronics,Active,49.534,1223,60580.08,31,2026-03-21
ST-3900-D,Connectivity - Inf series,Connectivity,Infineon,Arrow Electronics,Industrial Automation,EOL,29.628,4596,136169.28,45,2025-07-12
IFX-1634-D,Sensor - Mic series,Sensor,Microchip,Avnet,Industrial Automation,EOL,254.764,2042,520227.23,32,2026-03-05
MCH-4164-D,Passive Component - ROH series,Passive Component,ROHM,Mouser,Consumer Electronics,Active,69.755,1874,130720.87,18,2026-05-13
NXP-1452-A,Analog IC - STM series,Analog IC,STMicroelectronics,Mouser,Industrial Automation,Active,54.544,3284,179122.5,47,2025-08-24
IFX-9379-A,Microcontroller - Ren series,Microcontroller,Renesas,Digi-Key,Renewable Energy,Active,50.729,2841,144121.09,50,2025-12-16
MCH-4228-C,Analog IC - Inf series,Analog IC,Infineon,Digi-Key,Automotive,Active,60.261,23,1386.0,37,2025-08-23
IFX-5844-E,Passive Component - Mic series,Passive Component,Microchip,Avnet,Industrial Automation,EOL,228.323,2470,563956.84,54,2025-12-18
NXP-5700-B,Sensor - ON  series,Sensor,ON Semiconductor,Digi-Key,Renewable Energy,EOL,143.26,1435,205578.16,51,2025-08-07
MCH-3780-A,Logic IC - Mic series,Logic IC,Microchip,Mouser,Renewable Energy,NRND,37.611,1760,66195.36,36,2025-09-25
TI-1757-B,Power Management - Mic series,Power Management,Microchip,Digi-Key,Renewable Energy,Active,57.204,1850,105827.4,16,2026-03-11
